db,variant,instructions_M,cycles_M,ipc,unique_cache_lines,l1d_loads,l1d_hit_pct,l2_hit_pct,nuca_hit_pct,elapsed_s,wallclock_s
103gb,S0,102.9,94.3,1.09,306921,18687277,98.69,.67,.0371,1261.37,1262
103gb,4way,70.3,47.7,1.47,88782,19651289,98.29,1.24,.0674,614.83,616
