db,variant,instructions_M,cycles_M,ipc,unique_cache_lines,l1d_loads,l1d_hit_pct,l2_hit_pct,nuca_hit_pct,elapsed_s,wallclock_s
16gb,S0,77.3,60.7,1.27,200423,15591479,98.71,.83,.0163,860.30,861
16gb,4way,51.9,29.6,1.75,56897,14696933,98.90,.80,.0269,390.13,390
16gb,16way,53.0,30.3,1.75,93761,15145613,98.62,.80,.0609,430.46,431
