size,db,instructions_M,cycles_M,ipc,unique_cache_lines,l1d_loads,l1d_hit_pct,l2_hit_pct,nuca_hit_pct,elapsed_s,wallclock_s
2048,50mb,25.2,14.2,1.78,45203,6616026,97.98,1.47,.0030,191.34,191
4096,50mb,25.2,14.2,1.78,46217,6616055,97.97,1.47,.0038,248.04,249
16384,50mb,25.2,14.2,1.78,47782,6616075,97.95,1.47,.0044,253.79,255
65536,50mb,27.9,15.1,1.84,49033,7276802,97.78,1.68,.0036,270.95,271
262144,50mb,25.2,14.2,1.77,49974,6615895,,1.45,,
1048576,50mb,25.2,14.3,1.77,50458,6615882,,1.44,,
