db,variant,instructions_M,cycles_M,ipc,unique_cache_lines,l1d_loads,l1d_hit_pct,l2_hit_pct,nuca_hit_pct,elapsed_s,wallclock_s
16gb,S0,77.3,60.7,1.27,200423,15591479,98.71,.83,.0163,860.30,861
16gb,4way,51.9,29.6,1.75,56897,14696933,98.90,.80,.0269,390.13,390
16gb,16way,53.0,30.3,1.75,93761,15145613,98.62,.80,.0609,430.46,431
103gb,S0,102.9,94.3,1.09,306921,18687277,98.69,.67,.0371,1261.37,1262
103gb,4way,70.3,47.7,1.47,88782,19651289,98.29,1.24,.0674,614.83,616
103gb,16way,74.6,49.6,1.50,125646,21223296,97.68,1.33,.1117,671.49,671
