name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Staphylococcus aureus subsp. aureus NCTC 8325	93061	strain	2821361	11	6	0.0
Pseudomonas aeruginosa PAO1	208964	strain	6264404	62969	62965	0.0
Enterococcus faecium DO	333849	strain	3052572	3	2	0.0
Escherichia coli str. K-12 substr. MG1655	511145	leaf	4641652	26162	26092	0.710011
Enterobacter cloacae subsp. cloacae ATCC 13047	716541	strain	5598796	858	656	0.0
Klebsiella pneumoniae subsp. pneumoniae HS11286	1125630	strain	5682322	12401	11934	0.289989
