name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Staphylococcus aureus subsp. aureus NCTC 8325	93061	strain	2821361	11	4	0.0
Pseudomonas aeruginosa PAO1	208964	strain	6264404	68596	68588	0.0
Enterococcus faecium DO	333849	strain	3052572	7	7	0.0
Escherichia coli str. K-12 substr. MG1655	511145	leaf	4641652	28430	28372	1
Enterobacter cloacae subsp. cloacae ATCC 13047	716541	strain	5598796	956	712	0.0
Klebsiella pneumoniae subsp. pneumoniae HS11286	1125630	strain	5682322	13292	12842	0.0
