name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Staphylococcus aureus subsp. aureus NCTC 8325	93061	strain	2821361	13	6	0.0
Pseudomonas aeruginosa PAO1	208964	strain	6264404	57300	57296	0.208262
Enterococcus faecium DO	333849	strain	3052572	5	5	0.0
Escherichia coli str. K-12 substr. MG1655	511145	leaf	4641652	23789	23737	0.562143
Enterobacter cloacae subsp. cloacae ATCC 13047	716541	strain	5598796	818	611	0.0
Klebsiella pneumoniae subsp. pneumoniae HS11286	1125630	strain	5682322	11127	10736	0.229596
