name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Staphylococcus aureus subsp. aureus NCTC 8325	93061	strain	2821361	16	6	0.0
Pseudomonas aeruginosa PAO1	208964	strain	6264404	75263	75255	1
Enterococcus faecium DO	333849	strain	3052572	8	8	0.0
Escherichia coli str. K-12 substr. MG1655	511145	leaf	4641652	31041	30972	0.0
Enterobacter cloacae subsp. cloacae ATCC 13047	716541	strain	5598796	993	724	0.0
Klebsiella pneumoniae subsp. pneumoniae HS11286	1125630	strain	5682322	13907	13432	0.0
