name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Klebsiella pneumoniae	573	species	5682322	1	0	0.0
Staphylococcus aureus subsp. aureus NCTC 8325	93061	strain	2821361	7	3	0.0
Pseudomonas aeruginosa PAO1	208964	strain	6264404	64943	64932	1
Enterococcus faecium DO	333849	strain	3052572	9	9	0.0
Escherichia coli str. K-12 substr. MG1655	511145	leaf	4641652	27235	27170	0.0
Enterobacter cloacae subsp. cloacae ATCC 13047	716541	strain	5598796	900	658	0.0
Klebsiella pneumoniae subsp. pneumoniae HS11286	1125630	strain	5682322	12591	12112	0.0
