name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Staphylococcus aureus subsp. aureus NCTC 8325	93061	strain	2821361	14	6	0.0
Pseudomonas aeruginosa PAO1	208964	strain	6264404	74656	74652	0.425603
Enterococcus faecium DO	333849	strain	3052572	7	7	0.0
Escherichia coli str. K-12 substr. MG1655	511145	leaf	4641652	31156	31087	0.574397
Enterobacter cloacae subsp. cloacae ATCC 13047	716541	strain	5598796	1021	761	0.0
Klebsiella pneumoniae subsp. pneumoniae HS11286	1125630	strain	5682322	14431	13865	0.0
