name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Klebsiella pneumoniae	573	species	5682322	1	0	0.0
Staphylococcus aureus subsp. aureus NCTC 8325	93061	strain	2821361	19	7	0.0
Pseudomonas aeruginosa PAO1	208964	strain	6264404	80661	80645	1
Enterococcus faecium DO	333849	strain	3052572	6	6	0.0
Escherichia coli str. K-12 substr. MG1655	511145	leaf	4641652	33521	33442	0.0
Enterobacter cloacae subsp. cloacae ATCC 13047	716541	strain	5598796	1096	806	0.0
Klebsiella pneumoniae subsp. pneumoniae HS11286	1125630	strain	5682322	15269	14702	0.0
