name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Staphylococcus aureus subsp. aureus NCTC 8325	93061	strain	2821361	22	6	0.0
Pseudomonas aeruginosa PAO1	208964	strain	6264404	70675	70664	1
Enterococcus faecium DO	333849	strain	3052572	2	1	0.0
Escherichia coli str. K-12 substr. MG1655	511145	leaf	4641652	28803	28728	0.0
Enterobacter cloacae subsp. cloacae ATCC 13047	716541	strain	5598796	892	657	0.0
Klebsiella pneumoniae subsp. pneumoniae HS11286	1125630	strain	5682322	12991	12468	0.0
