name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Staphylococcus aureus subsp. aureus NCTC 8325	93061	strain	2821361	15	7	0.0
Pseudomonas aeruginosa PAO1	208964	strain	6264404	56785	56777	0.0
Enterococcus faecium DO	333849	strain	3052572	2	2	0.0
Escherichia coli str. K-12 substr. MG1655	511145	leaf	4641652	23189	23140	0.0
Enterobacter cloacae subsp. cloacae ATCC 13047	716541	strain	5598796	751	577	0.0
Klebsiella pneumoniae subsp. pneumoniae HS11286	1125630	strain	5682322	10714	10350	0.0
